"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"nuP11","solo",2,"e","grab",961.5543,638303015736365678,638303015745981221,"Regular Gold CubeClone33 was picked up"
"nuP11","solo",2,"e","grab",174.0003,638303015812584103,638303015814324106,"Regular Gold CubeClone46 was picked up"
"nuP11","solo",2,"e","grab",235.0009,638303015858227215,638303015860577224,"Regular Gold CubeClone55 was picked up"
"nuP11","solo",2,"e","grab",797.0035,638303015907078856,638303015915048891,"Regular Gold CubeClone62 was picked up"
"nuP11","solo",2,"e","grab",134.9987,638303016054767319,638303016056117306,"Regular Red CubeClone79 was picked up"
"nuP11","solo",2,"e","grab",236.4799,638303016199390714,638303016201755513,"Regular Red CubeClone104 was picked up"
"nuP11","solo",2,"e","grab",351.8358,638303016224011768,638303016227530126,"Regular Red CubeClone105 was picked up"
"nuP11","solo",2,"e","grab",232.5652,638303016263705186,638303016266030838,"Regular Blue CubeClone110 was picked up"
"nuP11","solo",2,"e","grab",220.3351,638303016338745747,638303016340949098,"Regular Gold CubeClone82 was picked up"
"nuP11","solo",2,"e","grab",129.7433,638303016365508213,638303016366805646,"Regular Gold CubeClone129 was picked up"
"nuP11","solo",2,"e","grab",301.9998,638303016385773813,638303016388793811,"Regular Gold CubeClone132 was picked up"
"nuP11","solo",2,"e","grab",258.7635,638303016444978401,638303016447566036,"Regular Blue CubeClone139 was picked up"
"nuP11","solo",2,"e","grab",279.0015,638303016466344321,638303016469134336,"Regular Blue CubeClone141 was picked up"
"nuP11","solo",2,"e","grab",694.0515,638303016517782330,638303016524722845,"Regular Gold CubeClone135 was picked up"
"nuP11","solo",2,"e","grab",397.002,638303016537770177,638303016541740197,"Regular Blue CubeClone150 was picked up"
"nuP11","solo",2,"e","grab",244.2687,638303016559734508,638303016562177195,"Regular Gold CubeClone154 was picked up"
"nuP11","solo",2,"e","grab",166.0016,638303016704353171,638303016706013187,"Regular Blue CubeClone171 was picked up"
"nuP11","solo",2,"e","grab",257.5599,638303016826856486,638303016829432085,"Regular Red CubeClone191 was picked up"
"nuP11","solo",2,"e","grab",476.6689,638303016952457260,638303016957223949,"Regular Blue CubeClone208 was picked up"
"nuP11","solo",2,"e","grab",289.0366,638303016976574195,638303016979464561,"Regular Blue CubeClone213 was picked up"
"nuP11","solo",2,"e","grab",177.734,638303017067418492,638303017069195832,"Regular Blue CubeClone224 was picked up"
"nuP11","solo",2,"e","grab",1015.0035,638303017126600862,638303017136750897,"Regular Blue CubeClone233 was picked up"
"nuP11","solo",2,"e","grab",62.9777,638303017228712358,638303017229342135,"Regular Gold CubeClone160 was picked up"
"nuP11","solo",2,"e","grab",219.5005,638303017309138572,638303017311333577,"Regular Red CubeClone260 was picked up"
"nuP11","solo",2,"e","grab",233.001,638303017369617184,638303017371947194,"Regular Red CubeClone265 was picked up"
"nuP11","solo",2,"e","grab",240.5349,638303017395190909,638303017397596258,"Regular Red CubeClone268 was picked up"
"nuP11","solo",2,"e","grab",253.0333,638303017610526056,638303017613056389,"Regular Neutral CubeClone301 was picked up"
"nuP11","solo",2,"e","grab",352.0118,638303017683838322,638303017687358440,"Regular Neutral CubeClone313 was picked up"
