"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"P16","s","1",18,"m","e",152.0355,637959202746583441,637959202748103796,"gold"
"P16","s","1",18,"m","e",17.0045,637959202774019647,637959202774189692,"gray"
"P16","s","1",18,"m","e",61.0154,637959202805566778,637959202806176932,"gray"
"P16","s","1",18,"m","e",1188.2703,637959202823390811,637959202835273514,"red"
"P16","s","1",18,"m","e",349.0804,637959202897087484,637959202900578288,"red"
"P16","s","1",18,"m","e",366.0841,637959202930345013,637959202934005854,"gray"
"P16","s","1",18,"m","e",512.116,637959202962312244,637959202967433404,"gray"
"P16","s","1",18,"m","e",344.0789,637959202992539083,637959202995979872,"gray"
"P16","s","1",18,"m","e",458.1121,637959203121096779,637959203125677900,"red"
"P16","s","2",18,"m","e",506.115,637959203684499823,637959203689560973,"red"
"P16","s","2",18,"m","e",225.0508,637959203724638904,637959203726889412,"red"
"P16","s","2",18,"m","e",514.1189,637959203772269682,637959203777410871,"gray"
"P16","s","2",18,"m","e",183.041,637959203799135758,637959203800966168,"red"
"P16","s","2",18,"m","e",914.2087,637959203867821297,637959203876963384,"red"
"P16","s","2",18,"m","e",200.0454,637959203884465064,637959203886465518,"gray"
"P16","s","2",18,"m","e",350.0804,637959203937737110,637959203941237914,"red"
"P16","s","2",18,"m","e",197.0449,637959203977916201,637959203979886650,"gray"
"P16","s","2",18,"m","e",238.0531,637959204019049678,637959204021430209,"red"
"P16","s","2",18,"m","e",360.0828,637959204035713445,637959204039314273,"red"
"P16","s","2",18,"m","e",295.0685,637959204116980980,637959204119931665,"gray"
"P16","s","2",18,"m","e",305.3003,637959204136770826,637959204139823829,"gray"
"P16","s","2",18,"m","e",172.0395,637959204159539811,637959204161260206,"gray"
"P16","s","2",18,"m","e",200.048,637959204181354742,637959204183355222,"red"
"P16","s","2",18,"m","e",261.0609,637959204228065309,637959204230675918,"gray"
"P16","s","2",18,"m","e",163.038,637959204252370811,637959204254001191,"red"
"P16","s","2",18,"m","e",294.0675,637959204271825217,637959204274765892,"red"
"P16","s","2",18,"m","e",137.0316,637959204289059113,637959204290429429,"red"
"P16","s","2",18,"m","e",878.2006,637959204306313016,637959204315095022,"gray"
"P16","s","2",18,"m","e",671.1525,637959204332809014,637959204339520539,"gold"
"P16","s","2",18,"m","e",340.0779,637959204419318586,637959204422719365,"gold"
"P16","s","2",18,"m","e",193.0444,637959204465749081,637959204467679525,"red"
"P16","co","1",18,"m","e",1373.0311,637959207007078471,637959207020808782,"gray"
"P16","co","1",18,"m","e",399.0917,637959207175728238,637959207179719155,"red"
"P16","co","1",18,"m","e",210.0479,637959207203744574,637959207205845053,"red"
"P16","co","1",18,"m","e",106.0279,637959207226179651,637959207227239930,"red"
"P16","co","1",18,"m","e",621.1425,637959207304087277,637959207310298702,"red"
"P16","co","1",18,"m","e",186.0439,637959207333163854,637959207335024293,"red"
"P16","co","1",18,"m","e",758.1722,637959207388556386,637959207396138108,"gray"
"P16","co","1",18,"m","e",458.6631,637959207443396947,637959207447983578,"red"
"P16","co","1",18,"m","e",252.0564,637959207594391488,637959207596912052,"red"
"P16","co","1",18,"m","e",127.0294,637959207703696206,637959207704966500,"red"
"P16","co","1",18,"m","e",309.0721,637959207816731779,637959207819822500,"gray"
"P16","co","1",18,"m","e",122.0277,637959207856870874,637959207858091151,"red"
